iter	Passed	Remaining
0	3	3879
1	6	3331
2	9	3149
3	11	2987
4	15	2989
5	17	2971
6	20	2936
7	23	2920
8	26	2917
9	29	2905
10	31	2868
11	35	2923
12	38	2898
13	41	2892
14	43	2885
15	46	2874
16	49	2854
17	52	2857
18	54	2836
19	57	2832
20	60	2808
21	63	2804
22	65	2789
23	68	2781
24	70	2767
25	73	2761
26	76	2747
27	83	2888
28	86	2909
29	90	2916
30	92	2899
31	95	2896
32	99	2920
33	103	2934
34	106	2927
35	108	2915
36	111	2898
37	114	2903
38	117	2905
39	120	2891
40	123	2884
41	126	2877
42	129	2871
43	131	2865
44	134	2859
45	137	2848
46	139	2837
47	142	2826
48	145	2831
49	148	2825
50	151	2823
51	154	2820
52	157	2811
53	159	2799
54	162	2795
55	165	2789
56	168	2781
57	170	2775
58	173	2765
59	176	2759
60	178	2754
61	181	2742
62	184	2751
63	187	2744
64	191	2750
65	195	2763
66	198	2757
67	200	2752
68	202	2730
69	205	2726
70	208	2722
71	210	2716
72	213	2706
73	216	2705
74	219	2703
75	221	2697
76	224	2695
77	227	2691
78	230	2686
79	233	2689
80	236	2688
81	239	2680
82	242	2677
83	245	2674
84	248	2671
85	250	2666
86	254	2669
87	257	2667
88	260	2667
89	263	2665
90	266	2662
91	269	2656
92	272	2657
93	275	2652
94	277	2645
95	280	2639
96	283	2638
97	286	2635
98	288	2629
99	291	2622
100	294	2624
101	297	2620
102	300	2613
103	303	2610
104	306	2613
105	309	2610
106	312	2608
107	315	2608
108	318	2606
109	321	2599
110	323	2593
111	325	2579
112	328	2577
113	331	2572
114	333	2565
115	336	2565
116	339	2562
117	342	2559
118	345	2554
119	348	2553
120	351	2551
121	354	2548
122	357	2546
123	360	2547
124	363	2544
125	366	2543
126	370	2543
127	373	2543
128	376	2539
129	378	2535
130	382	2534
131	384	2530
132	388	2534
133	392	2533
134	394	2530
135	398	2529
136	400	2525
137	403	2522
138	406	2516
139	409	2514
140	412	2510
141	414	2507
142	417	2504
143	420	2500
144	423	2496
145	425	2490
146	428	2487
147	431	2483
148	434	2480
149	437	2479
150	440	2474
151	443	2472
152	446	2470
153	449	2466
154	451	2462
155	454	2459
156	457	2454
157	460	2453
158	463	2451
159	466	2448
160	469	2444
161	471	2440
162	475	2440
163	478	2437
164	480	2433
165	483	2427
166	485	2423
167	489	2422
168	494	2432
169	497	2428
170	501	2429
171	505	2432
172	509	2434
173	511	2429
174	514	2426
175	517	2422
176	520	2419
177	530	2447
178	533	2448
179	537	2448
180	540	2446
181	544	2445
182	547	2443
183	551	2446
184	556	2450
185	561	2455
186	564	2454
187	567	2450
188	569	2445
189	572	2440
190	575	2438
191	578	2435
192	581	2432
193	584	2429
194	588	2427
195	590	2424
196	594	2422
197	596	2417
198	599	2414
199	602	2409
200	604	2404
201	607	2401
202	610	2397
203	613	2393
204	615	2388
205	619	2385
206	621	2381
207	625	2381
208	628	2378
209	631	2374
210	633	2370
211	636	2366
212	639	2362
213	642	2358
214	644	2354
215	647	2351
216	650	2348
217	653	2345
218	656	2340
219	659	2337
220	662	2335
221	665	2333
222	668	2329
223	671	2325
224	673	2321
225	676	2316
226	678	2311
227	682	2309
228	684	2304
229	687	2301
230	691	2301
231	694	2299
232	697	2295
233	700	2294
234	704	2292
235	706	2288
236	710	2287
237	713	2283
238	715	2279
239	718	2276
240	721	2271
241	724	2267
242	727	2265
243	731	2266
244	734	2263
245	737	2260
246	740	2257
247	742	2252
248	745	2247
249	748	2244
250	751	2241
251	753	2237
252	756	2232
253	759	2230
254	761	2225
255	764	2221
256	767	2218
257	770	2215
258	773	2211
259	775	2208
260	778	2204
261	781	2200
262	783	2196
263	786	2192
264	789	2188
265	791	2185
266	794	2181
267	797	2179
268	801	2176
269	803	2172
270	806	2169
271	809	2166
272	812	2162
273	814	2158
274	817	2154
275	819	2150
276	822	2148
277	825	2144
278	829	2142
279	832	2139
280	834	2135
281	837	2132
282	840	2128
283	843	2125
284	846	2122
285	848	2119
286	851	2115
287	854	2111
288	855	2105
289	858	2102
290	861	2099
291	864	2096
292	868	2095
293	871	2092
294	873	2088
295	877	2086
296	880	2083
297	883	2080
298	886	2079
299	889	2076
300	892	2072
301	895	2069
302	898	2065
303	900	2062
304	903	2058
305	905	2054
306	908	2051
307	911	2048
308	914	2045
309	917	2041
310	919	2037
311	922	2034
312	925	2031
313	928	2027
314	930	2023
315	933	2021
316	936	2017
317	939	2014
318	942	2011
319	944	2008
320	946	2002
321	949	1999
322	952	1996
323	955	1994
324	958	1991
325	961	1988
326	964	1985
327	967	1982
328	970	1978
329	973	1975
330	976	1973
331	979	1970
332	981	1966
333	984	1963
334	988	1961
335	990	1958
336	994	1956
337	997	1953
338	999	1949
339	1002	1946
340	1006	1945
341	1008	1941
342	1011	1937
343	1014	1933
344	1016	1930
345	1020	1928
346	1022	1924
347	1025	1922
348	1028	1919
349	1031	1915
350	1034	1912
351	1036	1908
352	1039	1904
353	1042	1901
354	1045	1898
355	1047	1895
356	1051	1893
357	1054	1891
358	1057	1888
359	1059	1883
360	1061	1879
361	1064	1876
362	1067	1874
363	1070	1870
364	1073	1868
365	1076	1864
366	1079	1861
367	1082	1858
368	1084	1855
369	1087	1852
370	1090	1849
371	1093	1845
372	1096	1843
373	1099	1840
374	1103	1838
375	1105	1835
376	1108	1832
377	1111	1829
378	1114	1826
379	1117	1823
380	1121	1821
381	1124	1819
382	1127	1815
383	1129	1812
384	1132	1808
385	1135	1805
386	1137	1802
387	1140	1799
388	1143	1796
389	1146	1793
390	1149	1791
391	1152	1788
392	1155	1784
393	1159	1783
394	1162	1780
395	1166	1778
396	1168	1775
397	1171	1771
398	1174	1769
399	1177	1766
400	1181	1764
401	1183	1761
402	1186	1758
403	1189	1754
404	1192	1751
405	1194	1748
406	1197	1744
407	1200	1741
408	1203	1738
409	1206	1735
410	1209	1732
411	1212	1730
412	1215	1726
413	1217	1723
414	1221	1721
415	1224	1718
416	1227	1715
417	1229	1712
418	1232	1708
419	1234	1705
420	1237	1701
421	1240	1698
422	1243	1696
423	1246	1693
424	1248	1689
425	1251	1685
426	1253	1682
427	1257	1680
428	1260	1677
429	1262	1673
430	1265	1670
431	1268	1667
432	1272	1666
433	1275	1663
434	1278	1661
435	1281	1658
436	1284	1655
