iter	RMSE
0	11853.54529
1	11528.33874
2	11230.82431
3	10929.50708
4	10660.16567
5	10367.71773
6	10091.8033
7	9836.973964
8	9584.610579
9	9349.75361
10	9154.598005
11	8970.929986
12	8750.290723
13	8559.021107
14	8387.444127
15	8200.411404
16	8017.630394
17	7863.467712
18	7706.828744
19	7561.166493
20	7409.882302
21	7263.311275
22	7139.060903
23	7015.004843
24	6910.477844
25	6802.564603
26	6679.712348
27	6569.519973
28	6467.993947
29	6367.408631
30	6280.780253
31	6203.232465
32	6115.259229
33	6034.732693
34	5966.438952
35	5890.610531
36	5818.722913
37	5758.409005
38	5692.010545
39	5631.501166
40	5569.092439
41	5510.6923
42	5448.728931
43	5400.04413
44	5353.761687
45	5309.477847
46	5262.275546
47	5223.903234
48	5182.357506
49	5143.393592
50	5110.022157
51	5072.218064
52	5045.419956
53	5021.244652
54	5001.685299
55	4976.051698
56	4952.233692
57	4921.550056
58	4900.306228
59	4873.484898
60	4851.923811
61	4835.426559
62	4816.648987
63	4801.403105
64	4780.957842
65	4765.089213
66	4751.981288
67	4736.985336
68	4723.335874
69	4706.603256
70	4691.602265
71	4676.819471
72	4660.327813
73	4641.985065
74	4628.425844
75	4615.260948
76	4601.578068
77	4592.33283
78	4579.632504
79	4573.089309
80	4560.714467
81	4551.70857
82	4543.137849
83	4536.605343
84	4529.247955
85	4515.162753
86	4504.020649
87	4494.869741
88	4485.634766
89	4476.764713
90	4473.294008
91	4465.830528
92	4460.614964
93	4455.609204
94	4447.401606
95	4443.017598
96	4437.334761
97	4430.607749
98	4418.629669
99	4412.734981
100	4408.926679
101	4399.63559
102	4394.273122
103	4389.96868
104	4384.554831
105	4378.980817
106	4374.595815
107	4372.670838
108	4367.376496
109	4363.119172
110	4358.647946
111	4351.914636
112	4348.950884
113	4345.111708
114	4337.732077
115	4333.984662
116	4327.733902
117	4324.453281
118	4319.53519
119	4316.219269
120	4314.068055
121	4309.328369
122	4303.050946
123	4296.450822
124	4289.815464
125	4285.066099
126	4275.149423
127	4269.692001
128	4265.1031
129	4260.673536
130	4255.309255
131	4250.957499
132	4243.691809
133	4240.886332
134	4233.941522
135	4226.069901
136	4223.380203
137	4219.56753
138	4212.322119
139	4207.3517
140	4202.584538
141	4198.278366
142	4192.832525
143	4187.754266
144	4180.626995
145	4176.237229
146	4171.230666
147	4166.254949
148	4161.120188
149	4154.349254
150	4151.03006
151	4147.134631
152	4140.213062
153	4133.662797
