iter	Passed	Remaining
0	4	4096
1	7	3821
2	11	3731
3	14	3651
4	18	3750
5	22	3701
6	26	3696
7	29	3718
8	33	3710
9	36	3633
10	39	3552
11	43	3558
12	46	3532
13	49	3497
14	53	3487
15	56	3463
16	59	3469
17	63	3473
18	66	3443
19	69	3401
20	72	3391
21	76	3415
22	80	3428
23	84	3445
24	88	3446
25	93	3499
26	97	3496
27	100	3497
28	104	3490
29	108	3493
30	112	3508
31	115	3485
32	118	3463
33	121	3451
34	125	3465
35	128	3449
36	132	3439
37	135	3420
38	138	3413
39	142	3415
40	145	3410
41	150	3444
42	156	3489
43	160	3491
44	164	3488
45	168	3489
46	172	3500
47	175	3489
48	179	3488
49	183	3483
50	189	3523
51	193	3526
52	197	3524
53	201	3527
54	205	3537
55	210	3547
56	213	3532
57	216	3517
58	221	3530
59	225	3526
60	228	3520
61	231	3509
62	236	3512
63	239	3499
64	242	3485
65	246	3486
66	249	3472
67	254	3484
68	257	3473
69	261	3477
70	266	3480
71	271	3495
72	275	3496
73	278	3480
74	280	3463
75	285	3473
76	289	3468
77	292	3457
78	296	3452
79	300	3453
80	303	3445
81	306	3435
82	309	3423
83	313	3418
84	317	3418
85	320	3404
86	323	3396
87	327	3389
88	331	3390
89	334	3383
90	337	3371
91	340	3362
92	344	3360
93	348	3359
94	351	3349
95	354	3338
96	357	3330
97	361	3324
98	369	3367
99	373	3362
100	377	3355
101	380	3353
102	383	3342
103	386	3331
104	390	3325
105	393	3319
106	398	3323
107	401	3313
108	403	3301
109	406	3290
110	409	3282
111	414	3283
112	417	3277
113	421	3275
114	424	3266
115	428	3263
116	432	3261
117	435	3252
118	438	3248
119	442	3246
120	446	3243
121	450	3240
122	455	3246
123	459	3246
124	464	3248
125	467	3244
126	471	3241
127	474	3235
128	478	3227
129	480	3218
130	484	3212
131	489	3215
132	493	3216
133	497	3214
134	502	3220
135	506	3220
136	509	3212
137	512	3204
138	515	3195
139	519	3193
140	523	3187
141	526	3180
142	529	3173
143	533	3169
144	536	3165
145	540	3158
146	542	3149
147	546	3143
148	549	3136
149	552	3130
150	556	3127
151	559	3123
152	562	3115
153	567	3118
154	570	3111
155	573	3103
156	577	3098
157	580	3093
158	585	3096
159	588	3090
160	592	3085
161	595	3078
162	599	3075
163	602	3071
164	606	3069
165	609	3063
166	613	3058
167	617	3056
168	620	3048
169	624	3047
170	628	3044
171	632	3046
172	635	3040
173	639	3033
174	646	3047
175	649	3041
176	652	3035
177	656	3031
178	659	3025
179	664	3026
180	667	3021
181	670	3014
182	673	3008
183	676	3002
184	681	3002
185	685	3000
186	688	2993
187	692	2990
188	697	2991
189	700	2985
190	703	2980
191	706	2973
192	709	2967
193	713	2965
194	716	2958
195	720	2954
196	725	2957
197	730	2957
198	733	2953
199	737	2948
200	740	2945
201	745	2947
202	749	2943
203	753	2938
204	756	2935
205	761	2936
206	766	2937
